label M z_true z_0.1 dz_0.1 z_0.05 dz_0.05 z_0.005 dz_0.005 
A 5.5e+14 0.63 0.42 0.69 0.73 0.60 0.69 0.28 
B 2.2e+14 0.69 0.40 0.67 0.46 0.74 0.47 0.24 
C 5.4e+14 0.63 0.52 0.76 0.74 0.59 0.48 0.23 
D 3.8e+14 0.70 0.41 0.68 0.72 0.61 0.71 0.32 
E 6e+14 0.47 0.40 0.67 0.37 0.62 0.48 0.31 
F 2.5e+14 0.68 0.41 0.68 0.39 0.64 0.63 0.34 
G 4.9e+14 0.39 0.26 0.40 0.29 0.45 0.48 0.25 
H 2.3e+14 0.22 0.35 0.59 0.26 0.39 0.22 0.34 
I 2.3e+14 0.76 0.36 0.59 0.61 0.74 0.80 0.29 
J 3.2e+14 0.58 0.58 0.77 0.55 0.76 0.50 0.29 
K 2.3e+14 0.51 0.40 0.67 0.40 0.66 0.20 0.31 
L 3.2e+14 0.36 0.40 0.67 0.31 0.51 0.34 0.49 
M 2.9e+14 0.78 0.38 0.64 0.70 0.65 1.14 0.42 
N 7.2e+14 0.60 0.39 0.65 0.38 0.64 0.18 0.28 
O 2.3e+14 0.32 0.40 0.66 0.38 0.63 0.34 0.40 
P 2.2e+14 0.39 0.40 0.65 0.37 0.61 0.44 0.51 
