label M z_true z_1.0e+00 dz_1.0e+00 z_1.0e-08 dz_1.0e-08 z_1.0e-10 dz_1.0e-10 
A 5.5e+14 0.63 0.46 0.78 0.46 0.75 0.81 0.21 
B 2.2e+14 0.69 0.60 0.90 0.58 0.90 0.59 0.17 
C 5.4e+14 0.63 0.53 0.82 0.60 0.76 0.62 0.45 
D 3.8e+14 0.70 0.59 0.81 0.65 0.78 0.70 0.23 
E 6e+14 0.47 0.46 0.76 0.45 0.71 0.47 0.29 
F 2.5e+14 0.68 0.47 0.80 0.50 0.82 0.49 0.21 
G 4.9e+14 0.39 0.42 0.73 0.40 0.66 0.40 0.21 
H 2.3e+14 0.22 0.38 0.71 0.29 0.57 0.19 0.29 
I 2.3e+14 0.76 1.18 0.50 0.46 1.06 1.20 0.13 
J 3.2e+14 0.58 0.48 0.79 0.59 0.91 0.65 0.28 
K 2.3e+14 0.51 0.40 0.71 0.40 0.66 0.20 0.26 
L 3.2e+14 0.36 0.42 0.72 0.40 0.69 0.41 0.44 
M 2.9e+14 0.78 0.42 0.75 0.48 0.82 1.26 0.18 
N 7.2e+14 0.60 0.43 0.77 0.44 0.74 0.42 0.47 
O 2.3e+14 0.32 0.38 0.69 0.34 0.62 0.27 0.32 
P 2.2e+14 0.39 0.39 0.67 0.37 0.57 0.39 0.32 
